id,text
66443,با کلاس حرف بزن‌ عاشقت شن‌ :تیکه بنداز ولی با ادب@BioTike@BioTike
66444,💭دوستان شاد شوند از غمِ پنهانی ماجمع گردد دلِ یاران ز پریشانی ماما که ویران شدگانیم بدین دلشادیمکه جهانی شده آباد ز ویرانی ما...#طالب_آملی@Nabz_e_shear
66447,✨ساقی بیا که عشق ندا می‌کند بلندکان‌کس که گفت قصه ما هم زِ ما شنید#حافظ @Nabz_e_shear
66453,مژگان به هم بزن كه بپاشی جهانِ منكوبی زمینِ من، به سرِ آسمان من درمان نخواستم ز تو من درد خواستمیک دردِ ماندگار&#33; بلایت به جانِ منمی‌سوزم از تبی كه دماسنجِ عشق رااز هُرمِ خود گداخته زیرِ زبانِ منتشخیصِ دردِ من به دلِ خود حواله كنآه ای طبیبِ دردفروشِ جوانِ من&#33;نبضِ مرا بگیر و ببر نامِ خویش راتا خون بدل به باده شود در رگانِ منگفتی: غریبِ شهرِ منی، این چه غربت است؟كاین شهر از تو می‌شنود داستانِ منخاكستری است شهرِ من آری و من در آنآن مجمری كه آتشِ زرتشت از آنِ منزین پیش اگر كه نصفِ جهان بود، بعد از اینبا تو شود تمامِ جهان اصفهان من&#33;#حسین_منزوی@Nabz_e_shear
66468,💭گل و شکوفه همه هست و یار نیست چه سودبتِ شکر لبِ من در کنار نیست چه سودبهار آمد و هر گل که باید آن همه هستگلی که می‌طلبم در بهار نیست چه سود#امیرخسرو_دهلوی@Nabz_e_shear
66474,✨از لطف تو چو جان شدم وز خویشتن پنهان شدمای هست تو پنهان شده در هستی پنهان من... #مولانا@Nabz_e_shear
66477,لبت مرا به غزل‌های نوجوانی بردبه عشق‌های زمينی آسمانی بردکسی که آتش بی‌مهری‌اش مرا سوزاندچه شد که باز دل از من به مهربانی برد؟به زنده بودن من نام زندگی مگذارکه این غریب فقط رنج زندگانی بردچه زود پیر شدیم و چه دیر فهمیدیمکه عشق هرچه ز ما برد ناگهانی برد#علی_مقیمی@Nabz_e_shear
66479,#توئیت 🖇♥️اونجا که داستایفسکی گفته:&quot;آشوب درونش را  نه کلمات می‌توانست بیان کند و نه فریادها&quot;چقدر منه... چقدررررر منه این جمله:) حضرت #حافظ هم با یه بیت بیانش کرده:&quot;در اندرون من خسته ندانم کیست  که من خموشم و او در فغان و در غوغاست&#33;&quot;@Nabz_e_shear
66494,سلامبچه ها به چند نفر نیاز داریم برای ادمینی کار سختی نیست حقوقش هم از ماهی ۳ شروع میشه چونکه کار شاخی نیست و راحته و فقط افرادی که وقت آزاد داشته باشن و چند تا ملاک دیگه که بهتون میگیم پیام بده ممنون:@Admin
66495,✨داغ جنون تازه گشت این دل پژمرده راسخت خزانی گذشت، خوب بهاری رسید #وحشی_بافقی@Nabz_e_shear
66499,آیینه‌ای به دست بیار و نظاره کن گاهی تو هم نگاه به ماه و ستاره کن گفتی قبول کن که جدایی صلاح ماست گیرم که خیر باشد، باز استخاره کن ما عاشق توایم و پشیمان نمی‌شویم هر توبه‌ نامه‌ای که نوشتیم پاره کن&#33; چون من تو نیز در گذر از باتلاق عمر بیهوده دست و پا زده‌ای، فکر چاره کن یادش به‌خیر روز نخستی که دیدمت&#33; روز وداع ماست، نگاهی دوباره کن#علی_مقیمی 📕جایگاه شهود @Nabz_e_shear
66501,💭اگر دل است به جان می‌خرد هوای تو راوگر تن است به دل می‌کشد جفای تو رابه یاد روی تو تا زنده‌ام همی گریمکه آب دیده کُشد آتش هوای تو را#سیف_فرغانی  @Nabz_e_shear
66516,📝در کوی خرابات مرا عشق کشان کردآن دلبر عیار مرا دید نشان کردمن در پی آن دلبر عیار برفتماو روی خود آن لحظه ز من باز نهان کردمن در عجب افتادم از آن قطب یگانهکز یک نظرش جمله وجودم همه جان کرد#مولانا@Nabz_e_shear
66523,سرعت دانلودش طوری خوبه ک من دیگه nmt&#33;https://t.me/proxy?server=194.87.149.181&amp;port=443&amp;secret=ee1603010200010001fc030386e24c3add646e2e79656b74616e65742e636f6d646c2e676f6f676c652e636f6d666172616B61762E636F6D160301020001000100000000000000000000000000000000
66524,فروردین منو اضافه‌هایش را پست کنبرای کسی که بهاری نداردشادا بهارکه دست مرا گرفته،نمی‌دانم به کجا می‌برد&#33;شادا منکه دست بهار را گرفته،به خانه‌ی خود می‌برم#شمس_لنگرودی@Nabz_e_shear
66540,فهم عاقل را به عاشق راه نیست هر چه گویم باز می‌گویی که چیست ؟ باید اول ترک هوشیاری کنی عشق را در خویشتن جاری کنی  هر زمان گشتی تو مست جام عشق خویش را انداختی در دام عشق آن زمان شاید بدانی عشق چیستچون کنی درک یکی را از دویست ...&#33;#مولانا@Nabz_e_shear
66547,خانواده ایرانی ینی عید بریم جنوب و تابستون هم بریم شمال این وسط بقیه استانا کشکپاشین عید امسال رو برین استانایی که نرفتین تا حالا کانال طبیعت گردی هم اگر خواستین راحت راهنماییتون می‌کنه@TourNature
66553,تو ماه رابیشتر از همه دوست داشتیو حالا ماه هرشبتو را به یاد من می‌آوردمی‌خواهم فراموشت کنماما این ماهبا هیچ دستمالی از پنجره پاک نمی‌شود... #رسول_یونان@Nabz_e_shear
66562,#توئیت 🖇&rlm;لانگ‌دیستنس رو جوری بیان میکنه #سعدی جان که اصن دلت کباب میشه واسش&#33;&quot;&rlm;چنان مشتاقم ای دلبر به دیدارت که از دوری&rlm;برآید از دلم آهی، بسوزد هفت دریا را…&#33;&quot;@Nabz_e_shear♥️
66563,سرعت دانلودش طوری خوبه ک من دیگه nmt&#33;https://t.me/proxy?server=194.87.149.181&amp;port=443&amp;secret=ee1603010200010001fc030386e24c3add646e2e79656b74616e65742e636f6d646c2e676f6f676c652e636f6d666172616B61762E636F6D160301020001000100000000000000000000000000000000
